"C1","C2","C3","C4","C5","C6","C7","C8","Browser","Appl","Goog","FB","Wind","Twtr","Joy","Sams","Gmail","SB","DCM","KDDI","Description"
"<U+1F62B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F62B>","","","","","","","","","—","—","","tired face"
"<U+1F971>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F971>","","","","","","","","—","—","—","—","yawning face"
"<U+1F624>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F624>","","","","","","","","","—","—","","face with steam from nose"
"<U+1F621>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F621>","","","","","","","","","","","","pouting face"
"<U+1F620>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F620>","","","","","","","","","","","","angry face"
"<U+1F92C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F92C>","","","","","","","","—","—","—","—","face with symbols on mouth"
"<U+1F608>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F608>","","","","","","","","—","—","—","—","smiling face with horns"
"<U+1F47F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F47F>","","","","","","","","","","—","","angry face with horns"
"<U+1F480>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F480>","","","","","","","","","","—","","skull"
"<U+2620>",NA,NA,NA,NA,NA,NA,NA,"<U+2620>","","","","","","","","—","—","—","—","skull and crossbones"
"<U+1F4A9>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A9>","","","","","","","","","","—","","pile of poo"
"<U+1F921>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F921>","","","","","","","","—","—","—","—","clown face"
"<U+1F479>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F479>","","","","","","","","","—","—","","ogre"
"<U+1F47A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F47A>","","","","","","","","","—","—","","goblin"
"<U+1F47B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F47B>","","","","","","","","","","—","","ghost"
"<U+1F47D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F47D>","","","","","","","","","","—","","alien"
"<U+1F47E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F47E>","","","","","","","","","","—","","alien monster"
"<U+1F916>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F916>","","","","","","","","—","—","—","—","robot"
"<U+1F63A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F63A>","","","","","","","","","—","—","","grinning cat"
"<U+1F638>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F638>","","","","","","","","","—","—","","grinning cat with smiling eyes"
"<U+1F639>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F639>","","","","","","","","","—","—","","cat with tears of joy"
"<U+1F63B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F63B>","","","","","","","","","—","—","","smiling cat with heart-eyes"
"<U+1F63C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F63C>","","","","","","","","","—","—","","cat with wry smile"
"<U+1F63D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F63D>","","","","","","","","","—","—","","kissing cat"
"<U+1F640>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F640>","","","","","","","","","—","—","","weary cat"
"<U+1F63F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F63F>","","","","","","","","","—","—","","crying cat"
"<U+1F63E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F63E>","","","","","","","","","—","—","","pouting cat"
"<U+1F648>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F648>","","","","","","","","","—","—","","see-no-evil monkey"
"<U+1F649>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F649>","","","","","","","","","—","—","","hear-no-evil monkey"
"<U+1F64A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F64A>","","","","","","","","","—","—","","speak-no-evil monkey"
"<U+1F48B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F48B>","","","","","","","","","","","","kiss mark"
"<U+1F48C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F48C>","","","","","","","","","—","","","love letter"
"<U+1F498>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F498>","","","","","","","","","","—","","heart with arrow"
"<U+1F49D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F49D>","","","","","","","","","","—","","heart with ribbon"
"<U+1F496>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F496>","","","","","","","","","—","—","","sparkling heart"
"<U+1F497>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F497>","","","","","","","","","","—","—","growing heart"
"<U+1F493>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F493>","","","","","","","","","","","","beating heart"
"<U+1F49E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F49E>","","","","","","","","","—","—","","revolving hearts"
"<U+1F495>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F495>","","","","","","","","","—","","","two hearts"
